Symbol,Security,SEC filings,GICS Sector,GICS Sub-Industry,Headquarters Location,Date added,CIK,Founded,Wikidata ID,Wikidata Label
CB,Chubb Limited,reports,Financials,Property & Casualty Insurance,"Zurich, Switzerland",2010-07-15,896159,1985,Q1089060,Chubb Corp.
CHD,Church & Dwight,reports,Consumer Staples,Household Products,"Ewing, New Jersey",2015-12-29,313927,1847,Q5116536,Church & Dwight
CI,Cigna,reports,Health Care,Managed Health Care,"Bloomfield, Connecticut",1976-06-30,1739940,1982,Q642271,Cigna
CINF,Cincinnati Financial,reports,Financials,Property & Casualty Insurance,"Fairfield, Ohio",1997-12-18,20286,1950,Q5120253,Cincinnati Financial
CTAS,Cintas,reports,Industrials,Diversified Support Services,"Mason, Ohio",2001-03-01,723254,1929,Q1092571,Cintas
CTAS,Cintas,reports,Industrials,Diversified Support Services,"Mason, Ohio",2001-03-01,723254,1929,Q15109928,Van Dyne Crotty
CSCO,Cisco,reports,Information Technology,Communications Equipment,"San Jose, California",1993-12-01,858877,1984,Q173395,Cisco Systems
C,Citigroup,reports,Financials,Diversified Banks,"New York City, New York",1988-05-31,831001,1998,Q219508,Citigroup
CFG,Citizens Financial Group,reports,Financials,Regional Banks,"Providence, Rhode Island",2016-01-29,759944,1828,Q5122694,Citizens Financial Group
CLX,Clorox,reports,Consumer Staples,Household Products,"Oakland, California",1969-03-31,21076,1913,Q910368,Clorox
CME,CME Group,reports,Financials,Financial Exchanges & Data,"Chicago, Illinois",2006-08-11,1156375,1848,Q1023876,CME  Europe
CMS,CMS Energy,reports,Utilities,Multi-Utilities,"Jackson, Michigan",1999-05-03,811156,1886,Q5013012,CMS Energy
KO,The Coca-Cola Company,reports,Consumer Staples,Soft Drinks,"Atlanta, Georgia",1957-03-04,21344,1886,Q3295867,The Coca-Cola Company
CTSH,Cognizant,reports,Information Technology,IT Consulting & Other Services,"Teaneck, New Jersey",2006-11-17,1058290,1994,Q1107035,Cognizant
CL,Colgate-Palmolive,reports,Consumer Staples,Household Products,"New York City, New York",1957-03-04,21665,1806,Q609466,Colgate-Palmolive Company
CMCSA,Comcast,reports,Communication Services,Cable & Satellite,"Philadelphia, Pennsylvania",2002-11-19,1166691,1963,Q1113804,Comcast
CMA,Comerica,reports,Financials,Diversified Banks,"Dallas, Texas",1995-12-01,28412,1849,Q1114148,Comerica
CAG,Conagra Brands,reports,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois",1983-08-31,23217,1919,Q1123399,"Conagra Brands, Inc."
COP,ConocoPhillips,reports,Energy,Oil & Gas Exploration & Production,"Houston, Texas",1957-03-04,1163165,2002,Q214763,ConocoPhillips
ED,Consolidated Edison,reports,Utilities,Electric Utilities,"New York City, New York",,1047862,1823,Q1127536,Consolidated Edison
STZ,Constellation Brands,reports,Consumer Staples,Distillers & Vintners,"Victor, New York",2005-07-01,16918,1945,Q1128160,Constellation Brands
CEG,Constellation Energy,reports,Utilities,Multi-Utilities,"Baltimore, Maryland",2022-02-02,1868275,1999,Q259195,Constellation Energy
COO,CooperCompanies,reports,Health Care,Health Care Supplies,"San Ramon, California",2016-09-23,711404,1958,Q1129792,The Cooper Companies
CPRT,Copart,reports,Industrials,Diversified Support Services,"Dallas, Texas",2018-07-02,900075,1982,Q16951448,Copart
GLW,Corning Inc.,reports,Information Technology,Electronic Components,"Corning, New York",,24741,1851,Q5842736,Corning Inc.
CTVA,Corteva,reports,Materials,Fertilizers & Agricultural Chemicals,"Indianapolis, Indiana",2019-06-03,1755672,2019,Q63197674,Corteva Agriscience
CSGP,CoStar Group,reports,Industrials,Research & Consulting Services,"Washington, D.C.",2022-09-19,1057352,1987,Q16988748,CoStar Group
COST,Costco,reports,Consumer Staples,Hypermarkets & Super Centers,"Issaquah, Washington",1993-10-01,909832,1976,Q715583,Costco
CTRA,Coterra,reports,Energy,Oil & Gas Exploration & Production,"Houston, Texas",2008-06-23,858470,2021 (1989),Q4035714,Coterra Energy
CCI,Crown Castle,reports,Real Estate,Specialized REITs,"Houston, Texas",2012-03-14,1051470,1994,Q5189320,Crown Castle International Corp.
CSX,CSX,reports,Industrials,Railroads,"Jacksonville, Florida",1967-09-30,277948,1980,Q1024454,CSX Corporation
CMI,Cummins,reports,Industrials,Industrial Machinery,"Columbus, Indiana",1965-03-31,26172,1919,Q173476,Cummins
CVS,CVS Health,reports,Health Care,Health Care Services,"Woonsocket, Rhode Island",1957-03-04,64803,1996,Q624375,CVS Health
DHI,D.R. Horton,reports,Consumer Discretionary,Homebuilding,"Arlington, Texas",2005-06-22,882184,1978,Q5203782,D. R. Horton
DHR,Danaher Corporation,reports,Health Care,Health Care Equipment,"Washington, D.C.",,313616,1969,Q1159256,Danaher Corporation
DRI,Darden Restaurants,reports,Consumer Discretionary,Restaurants,"Orlando, Florida",,940944,1938,Q742196,Darden Restaurants
DVA,DaVita Inc.,reports,Health Care,Health Care Facilities,"Denver, Colorado",2008-07-31,927066,1979,Q5207184,DaVita
DVA,DaVita Inc.,reports,Health Care,Health Care Facilities,"Denver, Colorado",2008-07-31,927066,1979,Q48988040,DaVita Medical Group
DE,John Deere,reports,Industrials,Agricultural & Farm Machinery,"Moline, Illinois",1957-03-04,315189,1837,Q496302,Deere & Company
DAL,Delta Air Lines,reports,Industrials,Airlines,"Atlanta, Georgia",2013-09-11,27904,1929,Q188920,Delta Air Lines
XRAY,Dentsply Sirona,reports,Health Care,Health Care Supplies,"Charlotte, North Carolina",2008-11-14,818479,2016 (1969),Q834888,Dentsply
XRAY,Dentsply Sirona,reports,Health Care,Health Care Supplies,"Charlotte, North Carolina",2008-11-14,818479,2016 (1969),Q23781052,Dentsply Sirona
DVN,Devon Energy,reports,Energy,Oil & Gas Exploration & Production,"Oklahoma City, Oklahoma",2000-08-30,1090012,1971,Q1206980,Devon Energy
DXCM,Dexcom,reports,Health Care,Health Care Equipment,"San Diego, California",2020-05-12,1093557,1999,Q15109865,Dexcom
FANG,Diamondback Energy,reports,Energy,Oil & Gas Exploration & Production,"Midland, Texas",2018-12-03,1539838,2007,Q65091423,Diamondback Energy
DLR,Digital Realty,reports,Real Estate,Specialized REITs,"Austin, Texas",2016-05-18,1297996,2004,Q5275969,Digital Realty Trust
DFS,Discover Financial,reports,Financials,Consumer Finance,"Riverwoods, Illinois",2007-07-02,1393612,1985,Q5281775,Discover Financial
DISH,Dish Network,reports,Communication Services,Cable & Satellite,"Meridian, Colorado",2017-03-13,1001082,1980,Q1199757,Dish
DIS,Disney,reports,Communication Services,Movies & Entertainment,"Burbank, California",1976-06-30,1744489,1923,Q7414,The Walt Disney Company
DG,Dollar General,reports,Consumer Discretionary,General Merchandise Stores,"Goodlettsville, Tennessee",2012-12-03,29534,1939,Q145168,Dollar General
DLTR,Dollar Tree,reports,Consumer Discretionary,General Merchandise Stores,"Chesapeake, Virginia",2011-12-19,935703,1986,Q5289230,Dollar Tree
D,Dominion Energy,reports,Utilities,Electric Utilities,"Richmond, Virginia",,715957,1983,Q677464,Dominion Energy
DPZ,Domino's,reports,Consumer Discretionary,Restaurants,"Ann Arbor, Michigan",2020-05-12,1286681,1960,Q839466,Domino’s Pizza
DOV,Dover Corporation,reports,Industrials,Industrial Machinery,"Downers Grove, Illinois",1985-10-31,29905,1955,Q16974527,Dover Corporation
DOW,Dow Inc.,reports,Materials,Commodity Chemicals,"Midland, Michigan",2019-04-01,1751788,2019,Q855639,Dow Chemical Company
DOW,Dow Inc.,reports,Materials,Commodity Chemicals,"Midland, Michigan",2019-04-01,1751788,2019,Q62739842,Dow Inc.
DTE,DTE Energy,reports,Utilities,Multi-Utilities,"Detroit, Michigan",1957-03-04,936340,1995,Q5206232,DTE Energy
DUK,Duke Energy,reports,Utilities,Electric Utilities,"Charlotte, North Carolina",1976-06-30,1326160,1904,Q1264404,Duke Energy
DD,DuPont,reports,Materials,Specialty Chemicals,"Wilmington, Delaware",2019-04-02,1666700,2017,Q221062,DuPont
DXC,DXC Technology,reports,Information Technology,IT Consulting & Other Services,"Tysons Corner, Virginia",2017-04-04,1688568,2017,Q28782856,DXC Technology
EMN,Eastman Chemical Company,reports,Materials,Diversified Chemicals,"Kingsport, Tennessee",1994-01-01,915389,1920,Q899022,Eastman Chemical Company
ETN,Eaton Corporation,reports,Industrials,Electrical Components & Equipment,"Dublin, Ireland",,1551182,1911,Q48872,Eaton Corporation
EBAY,eBay,reports,Consumer Discretionary,Internet & Direct Marketing Retail,"San Jose, California",2002-07-22,1065088,1995,Q58024,eBay
ECL,Ecolab,reports,Materials,Specialty Chemicals,"Saint Paul, Minnesota",1989-01-31,31462,1923,Q1282031,Ecolab
EIX,Edison International,reports,Utilities,Electric Utilities,"Rosemead, California",1957-03-04,827052,1886,Q662095,Edison International
EW,Edwards Lifesciences,reports,Health Care,Health Care Equipment,"Irvine, California",2011-04-01,1099800,1958,Q16966841,Edwards Lifesciences
EA,Electronic Arts,reports,Communication Services,Interactive Home Entertainment,"Redwood City, California",2002-07-22,712515,1982,Q173941,Electronic Arts
ELV,Elevance Health,reports,Health Care,Managed Health Care,"Indianapolis, Indiana",2002-07-25,1156039,2014 (1946),Q677488,"Elevance Health, Inc."
LLY,Eli Lilly and Company,reports,Health Care,Pharmaceuticals,"Indianapolis, Indiana",1970-12-31,59478,1876,Q632240,Eli Lilly and Company
EMR,Emerson Electric,reports,Industrials,Electrical Components & Equipment,"Ferguson, Missouri",1965-03-31,32604,1890,Q1335585,Emerson Electric
ENPH,Enphase,reports,Information Technology,Electronic Components,"Fremont, California",2021-01-07,1463101,2006,Q17012234,Enphase Energy
ETR,Entergy,reports,Utilities,Electric Utilities,"New Orleans, Louisiana",1957-03-04,65984,1913,Q1344587,Entergy
EOG,EOG Resources,reports,Energy,Oil & Gas Exploration & Production,"Houston, Texas",2000-11-02,821189,1999,Q1275577,EOG Resources
EPAM,EPAM Systems,reports,Information Technology,IT Consulting & Other Services,"Newtown, Pennsylvania",2021-12-14,1352010,1993,Q1275613,EPAM Systems
EQT,EQT,reports,Energy,Oil & Gas Exploration & Production,"Pittsburgh, Pennsylvania",2022-10-03,33213,1888,Q5323987,EQT
EFX,Equifax,reports,Industrials,Research & Consulting Services,"Atlanta, Georgia",1997-06-19,33185,1899,Q5384453,Equifax
EQIX,Equinix,reports,Real Estate,Specialized REITs,"Redwood City, California",2015-03-20,1101239,1998,Q851641,Equinix
EQR,Equity Residential,reports,Real Estate,Residential REITs,"Chicago, Illinois",2001-12-03,906107,1969,Q187740,Equity Residential
ESS,Essex Property Trust,reports,Real Estate,Residential REITs,"San Mateo, California",2014-04-02,920522,1971,Q27964091,"Essex Property Trust, Inc."
EL,The Estée Lauder Companies,reports,Consumer Staples,Personal Products,"New York City, New York",2006-01-05,1001250,1946,Q1260606,Estée Lauder Companies
ETSY,Etsy,reports,Consumer Discretionary,Internet & Direct Marketing Retail,"New York City, New York",2020-09-21,1370637,2005,Q1353939,Etsy
RE,Everest Re,reports,Financials,Reinsurance,"Hamilton, Bermuda",2017-06-19,1095073,1973,Q1381973,Everest Re
EVRG,Evergy,reports,Utilities,Electric Utilities,"Kansas City, Missouri",2018-06-05,1711269,1909,Q7987107,Evergy
ES,Eversource,reports,Utilities,Multi-Utilities,"Hartford, Connecticut",2009,72741,1966,Q3344199,Eversource Energy
EXC,Exelon,reports,Utilities,Multi-Utilities,"Chicago, Illinois",1957-03-04,1109357,2000,Q1383669,Exelon
EXPE,Expedia Group,reports,Consumer Discretionary,Internet & Direct Marketing Retail,"Seattle, Washington",2007-10-02,1324424,1996,Q8085893,Expedia Group
EXPD,Expeditors International,reports,Industrials,Air Freight & Logistics,"Seattle, Washington",2007-10-10,746515,1979,Q1384324,Expeditors International
EXR,Extra Space Storage,reports,Real Estate,Specialized REITs,"Salt Lake City, Utah",2016-01-19,1289490,1977,Q5422162,Extra Space Storage
XOM,ExxonMobil,reports,Energy,Integrated Oil & Gas,"Irving, Texas",1957-03-04,34088,1999,Q156238,ExxonMobil
FFIV,"F5, Inc.",reports,Information Technology,Communications Equipment,"Seattle, Washington",2010-12-20,1048695,1996,Q3029296,F5
